genome_id	isolation_source	host_name	Environment
562.10493	udder	Bos taurus	animal
562.15188	small intestine content of a cow at a French slaughterhouse (INRA)	Bos taurus	animal
562.1918	Calf	Bos taurus	animal
562.19189	Calf	Bos taurus	animal
562.1919	Calf	Bos taurus	animal
562.19181	Calf	Bos taurus	animal
562.19182	Calf	Bos taurus	animal
562.19183	Calf	Bos taurus	animal
562.19184	Calf	Bos taurus	animal
562.19191	Calf	Bos taurus	animal
562.19185	Calf	Bos taurus	animal
562.19186	Calf	Bos taurus	animal
562.19277	calf feces	Bos taurus	animal
562.19264	calf feces	Bos taurus	animal
562.19256	calf feces	Bos taurus	animal
562.1926	calf feces	Bos taurus	animal
562.19258	calf feces	Bos taurus	animal
562.19259	calf feces	Bos taurus	animal
562.19261	calf feces	Bos taurus	animal
562.1927	calf feces	Bos taurus	animal
562.19271	calf feces	Bos taurus	animal
562.19272	calf feces	Bos taurus	animal
562.19266	calf feces	Bos taurus	animal
562.19273	calf feces	Bos taurus	animal
562.19267	calf feces	Bos taurus	animal
562.1928	calf feces	Bos taurus	animal
562.19279	calf feces	Bos taurus	animal
562.19281	calf feces	Bos taurus	animal
562.19262	calf feces	Bos taurus	animal
562.19263	calf feces	Bos taurus	animal
562.19275	calf feces	Bos taurus	animal
562.19268	calf feces	Bos taurus	animal
562.19172	calf feces	Bos taurus	animal
562.19173	calf feces	Bos taurus	animal
562.19276	calf feces	Bos taurus	animal
562.19269	calf feces	Bos taurus	animal
562.19265	calf feces	Bos taurus	animal
562.19257	calf feces	Bos taurus	animal
562.2066	cow	Bos taurus	animal
562.21792	bovine	Bos taurus	animal
562.21448	cow feces	Bos taurus	animal
562.21405	cow feces	Bos taurus	animal
562.21404	cow feces	Bos taurus	animal
562.21443	cow feces	Bos taurus	animal
562.21436	cow feces	Bos taurus	animal
562.21433	cow feces	Bos taurus	animal
562.21384	cow feces	Bos taurus	animal
562.21368	cow feces	Bos taurus	animal
562.21309	cow feces	Bos taurus	animal
562.21308	cow feces	Bos taurus	animal
562.10472	udder	Bos taurus	animal
562.10471	udder	Bos taurus	animal
562.10501	udder	Bos taurus	animal
1226633.4	cattle	Bos taurus	animal
1226633.3	bovine liver abscess	Bos taurus	animal
228400.7	the lung of a calf which had pneumonia	Bos taurus	animal
1410657.5	rumen	Bos taurus	animal
244366.29	dairy animal	Bos taurus	animal
